"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.432403437E0,-1.256105304E-2,-1.633018255E-3,1.214981079E-2,1.755177211E-2
1.437380833E0,1.811400056E-3,1.260359585E-2,-4.018497467E-2,4.215405067E-2
1.442358177E0,-2.981111407E-3,-2.546039224E-2,-8.258628845E-2,8.647319607E-2
1.447373437E0,2.550558746E-2,-6.277695298E-3,-1.198873520E-1,1.227310947E-1
1.452352656E0,-3.072127700E-3,-6.142526865E-3,-4.290866852E-2,4.345483217E-2
1.457331927E0,-7.719397545E-3,-1.555931568E-2,3.342628479E-2,3.766958877E-2
1.462311250E0,1.621533930E-2,3.541052341E-3,5.214405060E-2,5.472182648E-2
1.467272239E0,6.604388356E-3,-1.545198262E-2,2.321910858E-2,2.866197334E-2
1.472250520E0,-7.623672485E-3,-5.847141147E-3,-5.294895172E-2,5.381357570E-2
1.477228906E0,-1.708710194E-2,8.476868272E-3,-6.675338745E-2,6.942507533E-2
1.482207239E0,2.101224661E-2,3.583773971E-3,-7.569599152E-2,7.863994580E-2
1.487187239E0,2.566021681E-2,2.262996137E-2,-5.132007599E-2,6.167910568E-2
1.492165625E0,2.077350020E-2,2.721886337E-2,1.342773438E-3,3.426671671E-2
1.497144114E0,1.587523520E-2,8.027046919E-3,3.457164764E-2,3.888001280E-2
1.502122552E0,2.051372826E-2,-1.559317112E-3,4.852867126E-2,5.270935829E-2
1.507102864E0,1.076354086E-2,1.742516458E-2,-8.859634399E-3,2.231553930E-2
1.512081354E0,-1.779484749E-2,-1.684233546E-3,-5.152130127E-2,5.453382184E-2
